No,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,追加
001a,長門,戦艦,80,89,49,99,0,89,0,39,20,12,低速,長,100,130,Lv99,編集
001b,長門改,戦艦,90,98,69,99,0,99,0,49,32,12,低速,長,100,160,Lv99,編集
002a,陸奥,戦艦,80,89,49,99,0,89,0,39,3,12,低速,長,100,130,Lv99,編集
002b,陸奥改,戦艦,90,98,69,99,0,99,0,49,6,12,低速,長,100,160,Lv99,編集
3,伊勢,戦艦,74,89,49,89,0,79,0,36,15,12,低速,長,85,120,Lv99,編集
4,日向,戦艦,74,89,49,94,0,79,0,36,15,12,低速,長,85,120,Lv99,編集
005a,雪風,駆逐艦,16,29,89,29,79,49,49,19,50,0,高速,短,15,20,Lv99,編集
005b,雪風改,駆逐艦,32,59,99,59,89,59,59,39,60,0,高速,短,15,20,Lv99,編集
006a,赤城,正規空母,69,54,49,39,0,69,0,69,12,73,高速,短,60,55,Lv99,編集
006b,赤城改,正規空母,77,79,69,55,0,79,0,89,12,82,高速,短,75,75,Lv99,編集
007a,加賀,正規空母,71,59,49,39,0,69,0,69,10,93,高速,短,60,55,Lv99,編集
007b,加賀改,正規空母,79,79,69,50,0,79,0,89,12,98,高速,短,80,80,Lv99,編集
008a,蒼龍,正規空母,50,49,59,29,0,69,0,69,10,64,高速,短,50,50,Lv99,編集
008b,蒼龍改,正規空母,65,69,69,39,0,79,0,89,12,73,高速,短,65,65,Lv99,編集
009a,飛龍,正規空母,50,49,69,29,0,69,0,69,35,64,高速,短,50,50,Lv99,編集
009b,飛龍改,正規空母,65,69,79,39,0,79,0,89,40,73,高速,短,65,65,Lv99,編集
010a,島風,駆逐艦,19,29,99,29,89,49,49,19,10,0,高速,短,20,25,Lv99,編集
010b,島風改,駆逐艦,36,59,99,59,99,59,59,39,12,0,高速,短,20,25,Lv99,編集
011a,吹雪,駆逐艦,15,19,89,29,79,39,49,19,17,0,高速,短,15,20,Lv99,編集
011b,吹雪改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
012a,白雪,駆逐艦,15,19,79,29,69,39,49,19,10,0,高速,短,15,20,Lv99,編集
012b,白雪改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
013a,初雪,駆逐艦,15,19,79,29,69,39,49,19,10,0,高速,短,15,20,Lv99,編集
013b,初雪改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
014a,深雪,駆逐艦,15,19,79,29,69,39,49,19,10,0,高速,短,15,20,Lv99,編集
